acType,"Approach Speed
(Vref)",MTOW,"Max Ramp
Max Taxi",dim_proxy
A319,126.0,166449.0,167331.0,1.6989039584754526
A320,136.0,171961.0,172842.0,1.4067113703756104
A321,140.0,196211.0,197093.0,0.7369061594613575
A332,136.0,533519.0,535503.0,-2.0707113845825753
A333,137.0,533519.0,535503.0,-2.524837915926646
A359,140.0,617295.0,619279.0,-3.095124066974347
B712,139.0,118000.0,119000.0,1.600065519000056
B737,130.0,154500.0,155000.0,1.479879704887469
B738,142.0,174200.0,174900.0,0.9780392307030958
B739,140.0,174200.0,174700.0,0.7285625267277556
B752,137.0,255500.0,256000.0,0.11417087530709474
B753,143.0,270000.0,271000.0,-0.5276453481255523
B763,140.0,350000.0,352000.0,-1.2852221200968514
B764,150.0,450000.0,451000.0,-2.1592771958768187
B772,136.0,535000.0,537000.0,-2.8186328729701042
CRJ2,140.0,47450.0,47700.0,3.2809311986158987
CRJ7,135.0,72750.0,73000.0,2.4572803609991047
